Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
01fad411-6664-4cda-826c-044d3ad9e2bf,2017-09-19 16:24:08,Running,,17.77,1:39:39,5:36,10.70,1247.0,257,139,"","TomTom MySports Watch",2017-09-19-162408.gpx
2fe19360-3ce6-4740-8d45-5fe77b21df75,2017-09-16 17:26:25,Running,,18.60,1:43:09,5:33,10.82,1305.0,313,138,"","TomTom MySports Watch",2017-09-16-172625.gpx
fac04b5b-6fc2-45fc-bc29-63fa4eb77569,2017-09-10 16:57:56,Running,,23.64,2:16:31,5:47,10.39,1682.0,394,142,"","TomTom MySports Watch",2017-09-10-165756.gpx
c95ca273-6089-4f22-9292-b22e3c0a89a1,2017-09-07 18:44:44,Running,,8.50,44:32,5:14,11.45,603.0,88,141,"","TomTom MySports Watch",2017-09-07-184444.gpx
5fb52c7a-0331-4382-9636-b9fca42a797f,2017-09-05 18:34:21,Running,,12.77,1:06:15,5:11,11.56,896.0,127,152,"","TomTom MySports Watch",2017-09-05-183421.gpx
861a0fed-e63d-415e-9193-b5815e65ff9f,2017-09-03 17:20:20,Running,,23.80,2:11:00,5:30,10.90,1669.0,384,151,"","TomTom MySports Watch",2017-09-03-172020.gpx
51fb7201-2bba-4611-b2af-6530343ebc88,2017-08-31 18:44:27,Running,,12.79,1:06:39,5:13,11.51,895.0,169,142,"","TomTom MySports Watch",2017-08-31-184427.gpx
e7a75592-c649-4c99-96be-ec52d555beca,2017-08-29 18:36:14,Running,,12.70,1:07:42,5:20,11.25,901.0,127,147,"","TomTom MySports Watch",2017-08-29-183614.gpx
6e8cc448-7326-4986-b175-4a9341ec5d30,2017-08-19 18:01:57,Running,,23.62,2:17:14,5:49,10.33,1667.0,377,138,"","TomTom MySports Watch",2017-08-19-180157.gpx
3c980f93-7aa1-477c-9f90-72ca01552031,2017-08-17 18:36:00,Cycling,,15.53,40:04,2:35,23.25,380.0,164,138,"","TomTom MySports Watch",2017-08-17-183600.gpx
3522a99f-e715-4a5b-93fe-a681bdef0ea1,2017-08-16 19:00:40,Running,,12.79,1:07:40,5:17,11.34,896.0,170,148,"","TomTom MySports Watch",2017-08-16-190040.gpx
e3f350ab-c7fa-42dd-8ccc-22162be34ab7,2017-08-14 18:01:38,Running,,12.77,1:08:40,5:23,11.16,893.0,171,142,"","TomTom MySports Watch",2017-08-14-180138.gpx
7b11bced-0b12-4e02-9717-09587f4c715f,2017-08-10 18:28:54,Running,,8.43,43:48,5:12,11.54,596.0,86,147,"","TomTom MySports Watch",2017-08-10-182854.gpx
d5f7dd47-f709-437c-ac71-30e87ce7e7ab,2017-08-08 18:39:14,Running,,12.56,59:37,4:45,12.64,849.0,121,158,"","TomTom MySports Watch",2017-08-08-183914.gpx
